Show,Organization,Venue,Start,End,Email,Email Source,Address,City,State,Postal,Country,Website,Phone,Facebook,Instagram,Licensor/Source,Source URL,Date Type,Venue Type,First Seen
Disney's 101 Dalmatians Kids,Golden Hills School,Golden Hills School,2026-11-14,2026-11-15,employment@goldenhillsschool.net,Production,"1060 Suncast Lane, El Dorado Hills, CA 95762",El Dorado Hills,CA,95762,US,http://goldenhillsschool.net,(916) 933-0100,https://www.facebook.com/Golden-Hills-School-198939626786462/,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Disney's Frozen Kids,I Can Do That Theatre Company,Village Theatre,2026-11-14,2026-12-20,jdunn@danville.ca.gov,Production,"233 Front St, Danville, CA 94526-3401",Danville,CA,94526-3401,US,https://danville.ca.gov/226/village-theatre,(925) 314-3418,https://www.facebook.com/DanvilleCAgov/,https://www.instagram.com/danvillecagov/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Disney's The Lion King Jr,Ludmila European Perf Arts Acad,Cain Center For The Arts,2026-11-14,2026-11-14,hedvika@ludmilamusicart.com,Production,"21348 Catawba Av, Cornelius, NC 28031",Cornelius,NC,28031,US,http://www.ludmilamusicart.com,(704) 650-9262,https://www.facebook.com/LudmilaEuropeanPerformingArtsAcademy,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Disney's Finding Nemo Kids,Lynnfield Community Schools - District Wide Shows,Lynnfield Middle School,2026-11-14,2026-11-15,schoolblocksadmin@lynnfield.k12.ma.us,Production,"505 Main Street, 505 Main Street, Lynnfield, MA 01940",Lynnfield,MA,1940,US,http://www.lynnfield.k12.ma.us,(781) 334-9200,,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Disney's Lion King Kids,Lyric Rose Theatre,Deer Creek Elementary,2026-11-14,2026-11-14,lyricrosetheatre@gmail.com,Production,"805 Lindley Ave, Nevada City, CA 95959-2911",Nevada City,CA,95959-2911,US,http://lyricrosetheatre.com,(530) 551-0450,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-27
Sweeney Todd,Purdue University,Matthews Hall,2026-11-14,2026-11-15,eventcal@purdue.edu,Production,"812 W State St, West Lafayette, IN 47907",West Lafayette,IN,47907,US,https://events.purdue.edu/matthews_hall,(765) 494-4600,https://www.facebook.com/PurdueUniversity/,https://www.instagram.com/lifeatpurdue/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Disney's The Lion King Jr,Pyramid Inc- Pensacola Pyramid School Of Fine Arts,The Ashmore,2026-11-14,2026-11-14,kgeyer@pensacolastate.edu,Production,"1000 College Blvd, Pensacola, FL 32504",Pensacola,FL,32504,US,http://performingarts.pensacolastate.edu,(850) 484-1800,https://www.facebook.com/PSCperformarts/,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Come From Away,Riverhead Faculty Community Theatre,Riverhead High School,2026-11-14,2026-11-22,hornbird830@gmail.com,Production,"700 Harrison Ave, Riverhead, NY 11901",Riverhead,NY,11901,US,http://www.rfct1985.com,,https://www.facebook.com/pages/category/Performance-Art-Theatre/Riverhead-Faculty-Community-Theatre-RFCT-124273784273868/,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
How To Train Your Dragon The Musical Jr.,Rocky Mount Academy,The Dunn Center,2026-11-14,2026-11-15,boxoffice@ncwu.edu,Production,"3400 N Wesleyan Blvd, Rocky Mount, NC 27804",Rocky Mount,NC,27804,US,http://ncwc.edu,(252) 985-5100,https://www.facebook.com/CoteUltimateETA/,https://instagram.com/coteultimate,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Peter And The Starcatcher,Sioux Valley Schools,Sioux Valley Schools,2026-11-14,2026-11-15,tyler.bolstad@k12.sd.us,Production,"200 Hansina Avenue, P. O. Box 278, Volga, SD 57071",Volga,SD,57071,US,http://svs.k12.sd.us,(605) 627-5657,https://www.facebook.com/siouxvalleyelementarySD/,http://www.instagram.com/siouxvalleyschool,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-19
Disney's The Little Mermaid Kids,St Peter Chanel School,St Peter Chanel School,2026-11-14,2026-11-15,chanel.school@stpchanel.org,Production,"2590 La Hwy 44, Paulina, LA 70763",Paulina,LA,70763,US,http://www.stpchanel.org,(225) 869-5778,,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Disney's 101 Dalmatians Kids,St Rose School,St Rose School,2026-11-14,2026-11-14,parish@saintroseonline.org,Production,"217 E. Front Street, Perrysburg, OH 43551",Perrysburg,OH,43551,US,http://www.saintroseonline.org,(419) 874-4559,https://www.facebook.com/PburgStRose,https://www.instagram.com/explore/locations/263109205/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Chitty Chitty Bang Bang Jr.,The Wayne Theatre Alliance,Wayne Theatre,2026-11-14,2026-11-16,info@waynetheatre.org,Production,"521 W. Main Street, Waynesboro, VA 22980",Waynesboro,VA,22980,US,http://waynetheatre.org/,(540) 943-9999,https://www.facebook.com/WayneTheatreAlliance/,https://www.instagram.com/waynetheatre/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Seussical,Wilmington Friends School,Wilmington Friends School,2026-11-14,2026-11-15,info@wilmingtonfriends.org,Production,"101 School Road, Wilmington, DE 19803",Wilmington,DE,19803,US,http://www.wilmingtonfriends.org,(302) 576-2900,http://www.facebook.com/pages/Wilmington-Friends-School/178663178924,https://www.instagram.com/wilmington_friends,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Disney's Moana Jr.,St Joseph/st Robert School,Archbishop Wood High School,2026-11-15,2026-11-15,natalie.lahiff@archwood.org,Production,"655 Old York Road, Warminster, PA 18974",Warminster,PA,18974,US,http://www.archwood.org,(215) 672-5050,https://www.facebook.com/ArchbishopWood/,https://instagram.com/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Madagascar-a Musical Adventure Kids,Cast Incorporated,Cast Incorporated,2026-11-16,2026-11-24,info@casttheatre.org,Production,"134 East Middle Tpke, Manchester, CT 06040",Manchester,CT,6040,US,http://www.casttheatre.org,(860) 649-5062,https://www.facebook.com/castchildrenstheatre,https://www.instagram.com/cast113,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-25
Disney's The Little Mermaid Jr,Skyline Studios Inc.,Winnetka Community House,2026-11-16,2026-12-13,chicago@skylinechildrenstheater.com,Production,"620 Lincoln Ave., Winnetka, IL 60093",Winnetka,IL,60093,US,http://www.skylinestudioschicago.com,(773) 234-7688,https://www.facebook.com/skylinechildrenstheater,https://www.instagram.com/skylinechildrenstheater,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
A Year With Frog And Toad-kids,Antioch Elementary School,Antioch Elementary School,2026-11-17,2026-11-20,jennifer.leaderer@wcsga.net,Production,"1819 Riverbend Road, Dalton, GA 30721",Dalton,GA,30721,US,https://aes.wcsga.net/,(706) 278-7550,https://www.facebook.com/antioches/,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Beetlejuice Jr.,Barry Goldwater High School,Margaret J. Goldwater P.a.c.,2026-11-18,2026-11-21,theresa.milks@dvusd.org,Production,"2820 W. Rose Garden Lane, Phoenix, AZ 85027",Phoenix,AZ,85027,US,https://norterracanyon.dvusd.org/,(623) 445-8200,https://www.facebook.com/NorterraCanyon,https://www.instagram.com/norterra_canyon_school,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
"Almost, Maine",Chino Hills High School Theatre,Chino Hills High School Theatre,2026-11-18,2026-11-21,tracy_freed@chino.k12.ca.us,Production,"16150 Pomona Rincon Rd, Chino Hills, CA",Chino Hills,CA,,US,http://www.chino.k12.ca.us,(909) 628-1201,https://www.facebook.com/chinovalleyusd/,https://www.instagram.com/chinovalleyusd/,CONCORD,https://www.concordtheatricals.com/p/12954/almost-maine,performance run,Amateur,2026-08-18
Roald Dahl's Matilda The Musical Jr,Corte Madera Middle School,Corte Madera Middle School,2026-11-18,2026-11-19,help@pvsd.net,Production,"4575 Alpine Road, Portola Valley, CA 94028",Portola Valley,CA,94028,US,http://www.pvsd.net,(650) 851-1777,https://www.facebook.com/portolavalleysd/,https://www.instagram.com/PortolaValleySD,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Guys And Dolls Jr,Horse Creek Academy- Village Players,Horse Creek Academy Stage/gym,2026-11-18,2026-11-19,records@hcacs.net,Production,"1201 Toolebeck Rd, 1201 Toolebeck Rd, Aiken, SC 29803",Aiken,SC,29803,US,http://hcacs.net,(803) 226-0160,https://www.facebook.com/HCACS,https://www.instagram.com/hca_wearethevillage/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Dr. Seuss' How The Grinch Stole Christmas!,Imagination Stage,Lerner Family Theatre,2026-11-18,2027-01-10,info@imaginationstage.org,Production,"4908 Auburn Ave, Bethesda, MD 20814-2629",Bethesda,MD,20814-2629,US,http://www.imaginationstage.org,(301) 280-1660,https://www.facebook.com/imaginationstage/,https://www.instagram.com/imaginationstage/,MTI,https://www.mtishows.com/shows,extended run,Professional,2026-08-18
Little Women,Karl G Maeser Preparatory Academy,Karl G. Maeser Preparatory Academy,2026-11-18,2026-11-21,info@maeserprep.org,Production,"320 West 600 South, Lindon, UT 84042",Lindon,UT,84042,US,http://maeserprep.org,(801) 235-9000,,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
The Visit,Mainstage Theatre,Mainstage Theatre,2026-11-18,2026-11-22,arts@uwm.edu,Production,"2400 E Kenwood Blvd, Milwaukee, WI",Milwaukee,WI,,US,http://arts.uwm.edu/calendar,(414) 229-4763,https://www.facebook.com/uwmpsoa,https://www.instagram.com/uwmpsoa/,CONCORD,https://www.concordtheatricals.com/p/2547/the-visit,performance run,Amateur,2026-08-18
Disney's Newsies Jr.,Mandeville High School,Mandeville High School Auditorium,2026-11-18,2026-11-21,public.comment@stpsb.org,Production,"# 1 Skipper Drive, Mandeville, LA 70471",Mandeville,LA,70471,US,http://mandevillehigh.stpsb.org,(985) 626-5225,,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Tomfoolery,Marshall University,Marshall University,2026-11-18,2026-11-21,colclough@marshall.edu,Production,"One John Marshall Drive, Huntington, WV",Huntington,WV,,US,https://www.marshall.edu/theatre/,(304) 696-2787,https://www.facebook.com/MarshallUniversityTheatre,https://www.instagram.com/marshallutheatre/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Disney's Beauty And The Beast Jr,Mason Middle School,Mason Middle School,2026-11-18,2026-11-20,ok2say@mi.gov,Production,"3835 West Walton Boulevard, Waterford, MI 48329",Waterford,MI,48329,US,http://waterford.k12.mi.us/mason,(248) 674-2281,https://www.facebook.com/wsdnews,https://www.instagram.com/wsdnews,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Disney's The Little Mermaid Jr,Minneota Public School,High School Auditorium,2026-11-18,2026-11-22,scott.monson@minneotaschools.org,Production,"504 North Monroe, Minneota, MN 56264",Minneota,MN,56264,US,http://minneotaschools.org,(507) 872-6175,https://www.facebook.com/minneotacounseling/,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Madagascar-a Musical Adventure Kids,North Yarmouth Academy,North Yarmouth Academy,2026-11-18,2026-11-19,information@nya.org,Production,"148 Main St, Yarmouth, ME 04096",Yarmouth,ME,4096,US,http://www.nya.org,(207) 846-9051,https://www.facebook.com/NorthYarmouthAcademy/,https://www.instagram.com/northyarmouthacademy/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Pippin,Quintessence Theatre Group,Sedgwick Theater,2026-11-18,2027-01-03,boxoffice@quintessencetheatre.org,Production,"7137 Germantown Ave # 04, Philadelphia, PA 19119",Philadelphia,PA,19119,US,http://www.quintessencetheatre.org/,(215) 987-4450,https://www.facebook.com/QuintessenceTheatre,http://instagram.com/quintessencephl,MTI,https://www.mtishows.com/shows,extended run,Professional,2026-08-18
Shrek The Musical Jr,Red Bank Elementary School,Red Bank Elementary School,2026-11-18,2026-11-18,info@cusd.com,Production,"1454 Locan Ave, Clovis, CA 93619",Clovis,CA,93619,US,http://clovisusd.k12.ca.us,(559) 327-9000,https://www.facebook.com/ClovisUnifiedSchoolDistrict,https://www.instagram.com/clovisusd/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Come From Away,South Lakes High School,South Lakes High School,2026-11-18,2026-11-21,mdviola@fcps.edu,Production,"11400 South Lakes Drive, Reston, VA 22091",Reston,VA,22091,US,http://www.slakestheatre.com,,https://www.google.com/url,https://www.google.com/url,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Disney's Frozen Jr,St Ursula Villa,St Ursula Villa,2026-11-18,2026-11-18,j.sedler@stursulavilla.org,Production,"3660 Vineyard Place, Cincinnati, OH 45226",Cincinnati,OH,45226,US,http://www.stursulavilla.org,(513) 871-7218,https://www.facebook.com/StUrsulaVillaSchool,https://www.instagram.com/stursulavilla/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-20
Roald Dahl's Willy Wonka Jr.,Stepping Stones Academy,Stepping Stones Academy,2026-11-18,2026-11-19,ddsa@ssa.school,Production,"35812 N 7th Street, Phoenix, AZ 85086",Phoenix,AZ,85086,US,http://www.steppingstonesacademy.org/,(623) 465-4910,,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Disney's Aladdin Jr.,Thomas G. Pullen K-8 Creative And Performing Arts,Bowie Center For The Performing Art,2026-11-18,2026-11-19,bcpa15200@gmail.com,Production,"15200 Annapolis Rd., Bowie, MD 20715",Bowie,MD,20715,US,http://www.bowiecenter.org,(301) 805-6880,https://www.facebook.com/Bowie-Center-for-the-Performing-Arts-112018811274431/,https://www.instagram.com/bcpa.md/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Catch Me If You Can,Alfred State College Suny,Alfred State College Suny,2026-11-19,2026-11-21,admissions@alfredstate.edu,Production,"10 Upper College Drive, Orvis Activities Center, Alfred, NY 14802",Alfred,NY,14802,US,http://www.alfredstate.edu,1-800-425-3733,https://www.facebook.com/AlfredStateCollege,https://www.instagram.com/alfred_state/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Elf-the Musical Jr.,All Saints Catholic School,All Saints Catholic School,2026-11-19,2026-11-21,sporter@csdo.org,Organizations,"4400 22nd Ave, 4400 22nd Ave, Kenosha, WI 53140",Kenosha,WI,53140,US,,,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Come From Away,Aragon High School,Aragon Theater,2026-11-19,2026-11-22,aragondramaboosters@gmail.com,Production,"900 Alameda De Las Pulgas, San Mateo, CA 94402",San Mateo,CA,94402,US,http://www.aragondrama.com,,http://www.facebook.com/aragondrama,http://instagram.com/aragondrama,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Beetlejuice Jr.,Bexley Middle School,Bexley Middle School,2026-11-19,2026-11-21,info@bexley.us,Production,"300 S. Cassingham Road, Bexley, OH 43209",Bexley,OH,43209,US,http://www.bexleyschools.org,(614) 231-7611,https://www.facebook.com/BexleySchools/,https://www.instagram.com/bexleyschools/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-19
Finding Neverland,Carroll High School,Carroll High School Auditorium,2026-11-19,2026-11-22,drama@carrollhs.org,Organizations,"3701 Carroll Rd, Fort Wayne, IN 46818",Fort Wayne,IN,46818,US,,,,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Little Shop Of Horrors (broadway Version),Central Collegiate Drama Club,Centennial Auditorium,2026-11-19,2026-11-21,school.peacock@prairiesouth.ca,Production,"145 Ross Street East, Moose Jaw, SK S6H0S3, CA",Moose Jaw,SK,S6H0S3,CA,https://schools.prairiesouth.ca/peacock/,(306) 693-4626,https://www.facebook.com/AE-Peacock-116567948400586/,https://www.instagram.com/aepeacockcollegiate/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Frozen,Centralia High School,Centralia High School,2026-11-19,2026-11-22,brooksr@centraliahs.org,Production,"2100 East Calumet Street, Centralia, IL 62801",Centralia,IL,62801,US,http://www.centraliahs.org,(618) 532-7391,https://www.facebook.com/Orfanage/,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Disney's The Little Mermaid Jr,Charter School For Applied Technologies,Charter School For Applied Tech.,2026-11-19,2026-11-21,mwalter@csat-k12.org,Production,"24 Shoshone St., Buffalo, NY 14214",Buffalo,NY,14214,US,http://www.csat-k12.org,(716) 876-7505,https://www.facebook.com/CharterSchoolForAppliedTechnologies/,https://www.instagram.com/charterschoolforappliedtech/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Disney's The Little Mermaid Jr,Childrens Theatre Of Elgin,Hemmens Cultural Center,2026-11-19,2026-11-22,hemmens@elginil.gov,Production,"45 Symphony Way, Elgin, IL 60120",Elgin,IL,60120,US,https://www.cityofelgin.org/1570/hemmens-cultural-center,(847) 931-5900,https://www.facebook.com/hemmens,https://www.instagram.com/thehemmens_elgin/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Annie,Childrens Theatre Of Winnetka,Winnetka Community House Matz Hall,2026-11-19,2026-11-22,info@childrenstheatrewinnetka.com,Production,"620 Lincoln Ave, Winnetka, IL 60093",Winnetka,IL,60093,US,http://www.childrenstheatrewinnetka.com,(847) 446-0537,https://www.facebook.com/childrenstheatrewinnetka,https://www.instagram.com/childrenstheatrewinnetka,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Unnecessary Farce,Chilliwack Cultural Centre,Chilliwack Cultural Centre,2026-11-19,2026-11-29,info@chilliwackculturalcentre.ca,Production,"9201 Corbould Street, Chilliwack, BC, CA",Chilliwack,BC,,CA,http://chilliwackculturalcentre.com/,(604) 391-7469,https://www.facebook.com/chilliwackculturalcentre/,https://www.instagram.com/chilliwackculturalcentre/,CONCORD,https://www.concordtheatricals.com/p/98949/unnecessary-farce,performance run,Amateur,2026-08-18
Disney's High School Musical Jr.,Christ The King School,Christ The King School,2026-11-19,2026-11-20,admin@ctkcougars.com,Organizations,"5858 North Crittenden Avenue, Indianapolis, IN 46220",Indianapolis,IN,46220,US,,,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Disney's Newsies Jr.,Classical School Of New Braunfels,Oakwood Baptist Church,2026-11-19,2026-11-21,info@tcsnb.org,Production,"2154 Loop 337, New Braunfels, TX 78132",New Braunfels,TX,78132,US,http://www.tcsnb.org,(830) 643-9926,,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Irving Berlin's White Christmas,Colorado Springs Fine Arts Center,Colorado Springs Fine Arts Center,2026-11-19,2026-12-27,fac@coloradocollege.edu,Production,"30 West Dale Street, Colorado Springs, CO",Colorado Springs,CO,,US,http://www.csfineartscenter.org,(719) 475-2444,https://www.facebook.com/CSFineArtsCenter,https://instagram.com/fineartscenter/,CONCORD,https://www.concordtheatricals.com/p/44974/irving-berlin-s-white-christmas,extended run,Professional,2026-08-18
Annie Jr,Eden Arts Cooperative,Plymouth Arts And Recreation Complex,2026-11-19,2026-11-22,foreveraftermail@gmail.com,Production,"650 Church St., Plymouth, MI 48170",Plymouth,MI,48170,US,http://www.iheartforeverafter.org/,734-547-5156,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Little Shop Of Horrors,Fouke High School,Fouke Middle School,2026-11-19,2026-11-21,melissa.brackney@foukepanthers.org,Production,"403 Panther Drive, Fouke, AR 71837",Fouke,AR,71837,US,http://foukepanthers.org,(870) 653-4311,https://www.facebook.com/FoukeHighSchool,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Newsies,Grace Christian School,Joan C. Edwards Performing Arts Cen,2026-11-19,2026-11-21,petrellad@marshall.edu,Production,"1655 5th Avenue, Huntington, WV 25703",Huntington,WV,25703,US,http://www.marshall.edu,(304) 696-2983,http://www.facebook.com/marshallu,http://www.instagram.com/marshallu,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Roald Dahl's Matilda The Musical Jr,Hampton Middle School,Hampton Middle School,2026-11-19,2026-11-21,clendenning@ht-sd.org,Production,"4589 School Drive, Allison Park, PA 15101",Allison Park,PA,15101,US,http://www.htsd.k12.pa.us,(412) 486-6000,https://www.facebook.com/HamptonTwpSD,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Guys And Dolls,Hannibal High School,Hannibal High School,2026-11-19,2026-11-22,communications@hannibal60.com,Production,"4500 Mcmasters Ave, Hannibal, MO 63401",Hannibal,MO,63401,US,http://www.hannibal.k12.mo.us,(573) 221-1258,https://www.facebook.com/HPSD60,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Disney's The Lion King Jr,Hartfield Academy,Colbert Theater,2026-11-19,2026-11-20,info@hartfield.org,Production,"1240 Luckney Rd, Flowood, MS 39232",Flowood,MS,39232,US,http://www.hartfield.org,601-992-5333,https://www.facebook.com/HartfieldAcademy/,https://www.instagram.com/hartfieldacademy/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-20
Frozen,Holland Christian High School,High School Auditorium,2026-11-19,2026-11-21,info@hollandchristian.org,Production,"950 Ottawa Avenue, Holland, MI 49423",Holland,MI,49423,US,http://www.hollandchristian.org/theatre,(616) 820-2805,https://www.facebook.com/hollandchristianschools,https://www.instagram.com/hollandchristianschools/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Mary Poppins Jr,Horizon Players,Horizon Stage,2026-11-19,2026-11-21,hstage@sprucegrove.org,Production,"1001 Calahoo Road, Spruce Grove, AB T7X 3A6, CA",Spruce Grove,AB,T7X 3A6,CA,http://www.horizonstage.com,(780) 962-8995,https://www.facebook.com/thehorizonstage,https://www.instagram.com/horizonstage/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Little Shop Of Horrors (broadway Version),Ionia High School,Ihs Watt Auditorium,2026-11-19,2026-11-22,jnuse@ioniaschools.org,Production,"438 Union Street, Ionia, MI 48846",Ionia,MI,48846,US,http://www.ioniaschools.org,(616) 527-9280,https://www.facebook.com/IoniaPublic/,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Newsies,John Glenn High School,John Glenn High School,2026-11-19,2026-11-22,schmidtm@bangorschools.org,Production,"3201 Kiesel Road, Bay City, MI 48706",Bay City,MI,48706,US,http://www.bangorschools.org,(989) 684-8121,https://www.facebook.com/Bangor-Township-Schools-772679662905130/,https://www.instagram.com/bangortwpschools/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-26
Frozen,John Marshall High School,Auditorium at John Marshall High School,2026-11-19,2026-11-22,communications@rochesterschools.org,Production,"John Marshall High School, 1510 14th Street Northwest, Rochester, MN 55901",Rochester,MN,55901,US,http://www.rochester.k12.mn.us,(507) 328-3000,https://www.facebook.com/ISD535,https://www.instagram.com/rochestermnpublicschools/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Dear Evan Hansen,Kingston Meistersingers,Theatre S-same,2026-11-19,2026-11-29,coord@centreculturelfrontenac.com,Production,"1290 Wheathill, Kingston, ON K7M 0A7, CA",Kingston,ON,K7M 0A7,CA,http://centreculturelfrontenac.com,(613) 546-1356,https://www.facebook.com/centre.frontenac,https://www.instagram.com/centreculturelfrontenac/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Legally Blonde,Mother Mcauley High School,Mother Mcauley High School,2026-11-19,2026-11-22,attendance@mothermcauley.org,Production,"3737 W 99th Street, Chicago, IL 60655",Chicago,IL,60655,US,http://www.mothermcauley.org,(773) 881-6500,https://www.facebook.com/mothermcauley/,https://www.instagram.com/mothermcauley/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
The Drowsy Chaperone,Mukwonago High School,Greenwald Auditorium,2026-11-19,2026-11-22,schieco@masd.k12.wi.us,Production,"605 West Veterans Way, 605 West Veterans Way, Mukwonago, WI 53149",Mukwonago,WI,53149,US,https://www.masd.k12.wi.us/community/greenwald-foundation-pac/index.html,(262) 363-6300,https://www.facebook.com/masdschools/,https://www.instagram.com/masdschools,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Clue,North Penn High School,North Penn High School,2026-11-19,2026-11-22,nptheatredocumentary@gmail.com,Production,"1340 South Valley Forge Road, Lansdale, PA",Lansdale,PA,,US,http://www.npenn.org/theatre,,,,CONCORD,https://www.concordtheatricals.com/p/98692/clue,performance run,Amateur,2026-08-18
Come From Away,Pacific Repertory Theatre,Founders Theatre At Golden Bough,2026-11-19,2026-12-20,contact@pacrep.org,Production,"P.o. Box 222035, Carmel, CA 93922",Carmel,CA,93922,US,http://www.pacrep.org,(831) 622-0100,https://www.facebook.com/photo/,https://www.instagram.com/pacificrepertorytheatre/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Rudolph The Red Nosed Reindeer,Pennsylvania Western University,Hart Chapel - Clarion Campus,2026-11-19,2026-11-23,admissions@pennwest.edu,Production,"Wood Street, Clarion, PA 16214",Clarion,PA,16214,US,http://www.pennwest.edu,(724) 938-4404,https://www.facebook.com/PennWestUniversity,https://instagram.com/pennwestu,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Shrek The Musical,Road Company Theatre,Road Company Theatre,2026-11-19,2026-11-19,info@roadcompany.com,Production,"Lauri Hudson, 405 S. Main Street, Williamstown, NJ 08094",Williamstown,NJ,8094,US,http://www.roadcompany.com,(856) 728-2120,https://www.facebook.com/roadcompany99,http://instagram.com/theroadcompany,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Mamma Mia!,Roncalli High School,Roncalli Performing Arts Center,2026-11-19,2026-11-21,info@roncalli.org,Production,"3300 Prague Rd, Indianapolis, IN 46227",Indianapolis,IN,46227,US,http://roncalli.org,(317) 787-8277,https://www.facebook.com/RoncalliHighSchool,https://www.instagram.com/roncalliroyals/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Come From Away,Seton Hill University,Ryan Theatre,2026-11-19,2026-11-21,boxoffice@setonhill.edu,Production,"1 Seton Hill Drive, Greensburg, PA 15601",Greensburg,PA,15601,US,http://setonhill.edu/arts,+1-800-826-6234,https://www.facebook.com/SetonHill,https://www.instagram.com/setonhilluniversity,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Joseph and the Amazing Technicolor Dreamcoat,Silverdale Baptist Academy,Silverdale Baptist Academy,2026-11-19,2026-11-21,info@silverdaleba.org,Production,"7236 Bonny Oaks Drive, Chattanooga, TN",Chattanooga,TN,,US,http://silverdaleba.org,(423) 892-2319,https://www.facebook.com/SilverdaleBA,https://www.instagram.com/silverdaleba/,CONCORD,https://www.concordtheatricals.com/p/44899/joseph-and-the-amazing-technicolor-dreamcoat,performance run,Amateur,2026-08-18
Disney's The Little Mermaid,Spencerport High School,Spencerport High School,2026-11-19,2026-11-21,registrar@spencerportschools.org,Production,"2707 Spencerport Road, Spencerport, NY 14559",Spencerport,NY,14559,US,http://www.spencerportschools.org/,(585) 349-5000,https://www.facebook.com/SpencerportCSD,https://www.instagram.com/spencerport_central_schools/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Annie Jr,St Agnes Parish,St Agnes Parish,2026-11-19,2026-11-22,info@stagnesparish.org,Production,"12801 West Fairmount Avenue, Butler, WI 53007",Butler,WI,53007,US,https://www.stagnesparish.org/,(262) 781-9521,https://www.facebook.com/stagnesbutler,https://www.instagram.com/stagnescatholicparishandschool/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
